Title,Link
Global warming,https://iopscience.iop.org/article/10.1088/0034-4885/68/6/R02/meta
Hurricanes and global warming,https://journals.ametsoc.org/view/journals/bams/86/11/bams-86-11-1571.xml
[PDF] Global warming of 1.5 C,https://apps.ipcc.ch/outreach/documents/451/1551801374.pdf
"Economics of global warming, the",https://ideas.repec.org/b/iie/ppress/39.html
[BOOK] Global warming,https://www.taylorfrancis.com/books/mono/10.4324/9781315838779/global-warming-danny-harvey
Global warming and infectious disease,https://www.sciencedirect.com/science/article/pii/S0188440905001517
Hurricanes and global warming,https://www.nature.com/articles/nature04477
Some economics of global warming,https://www.jstor.org/stable/2117599
The discovery of global warming,https://www.degruyter.com/document/doi/10.4159/9780674417557/html
Global warming is changing the world,https://www.science.org/doi/full/10.1126/science.316.5822.188
[BOOK] Global warming,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203785041&type=googlepdf
The challenge to keep global warming below 2 C,https://www.nature.com/articles/nclimate1783
[BOOK] Warming the world: economic models of global warming,https://books.google.com/books?hl=en&lr=&id=GbcCZHGQliwC&oi=fnd&pg=PR11&dq=global+warming&ots=GAmO0thYfh&sig=lLLQbY9ckuZPEAggw0hPU9M3FQs
[BOOK] Global warming: the complete briefing,https://books.google.com/books?hl=en&lr=&id=oUbWnWfnaJ4C&oi=fnd&pg=PR17&dq=global+warming&ots=0OWh7A2VhY&sig=ezJ5dnUebGl99HhzOzf97Y9yxKc
"[BOOK] Unstoppable global warming: Every 1,500 years",https://books.google.com/books?hl=en&lr=&id=75W1In9K_oUC&oi=fnd&pg=PR7&dq=global+warming&ots=AtpQBTcDtJ&sig=TPaP5b3O6ulsGYkuM6x78hWmBLk
Global warming economics,https://www.science.org/doi/abs/10.1126/science.1065007
Uncertainty in hurricanes and global warming,https://www.science.org/doi/full/10.1126/science.1112551
Simulation of early 20th century global warming,https://www.science.org/doi/abs/10.1126/science.287.5461.2246
The challenge of global warming,https://www.osti.gov/biblio/5625979
[BOOK] Global warming: the Greenpeace report,https://tamug-ir.tdl.org/handle/1969.3/25303
The construction of global warming and the politics of science,https://www.tandfonline.com/doi/abs/10.1111/0004-5608.00245
Global warming in the twenty-first century: An alternative scenario,https://www.pnas.org/content/97/18/9875.short
3. A New Agenda for Global Warming,https://www.degruyter.com/document/doi/10.7312/stig14364-003/html
[BOOK] Global warming and global politics,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203437711&type=googlepdf
The economics of hurricanes and implications of global warming,https://www.worldscientific.com/doi/abs/10.1142/S2010007810000054
Global warming,https://www.jstor.org/stable/43309412
Beyond global warming: ecology and global change,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1941591
[PDF] Global warming of 1.5 C,https://pscdocs.utah.gov/electric/17docs/1703561/314709UCEExhibitM7-15-2020.pdf
When could global warming reach 4° C?,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2010.0292
Economic aspects of global warming in a post-Copenhagen environment,https://www.pnas.org/content/107/26/11721.short
"Ethics, public policy, and global warming",https://www.tandfonline.com/doi/abs/10.1080/11287462.1992.10800592
The impact of global warming of agriculture: comment,https://www.jstor.org/stable/2118295
[PDF] The economic fundamentals of global warming,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.535.6985&rep=rep1&type=pdf
[HTML] Higher hydroclimatic intensity with global warming,https://journals.ametsoc.org/view/journals/clim/24/20/2011jcli3979.1.xml
The heartbreak of adapting to global warming,https://www.science.org/doi/full/10.1126/science.1137359
[BOOK] Global warming: understanding the forecast,https://books.google.com/books?hl=en&lr=&id=z23ObAJ56U8C&oi=fnd&pg=PP5&dq=global+warming&ots=PoTMxOHdGO&sig=lrsEZS6BaGQ0SiF27NXzCWDvzMo
[BOOK] Global warming and biological diversity,https://books.google.com/books?hl=en&lr=&id=ERV269gD_-gC&oi=fnd&pg=PR21&dq=global+warming&ots=vn6LZPYrBw&sig=NoPxJuIgtPARvHUn_h44TBZH4cA
[HTML] Global warming and agriculture,https://www.elibrary.imf.org/view/journals/022/0045/001/article-A007-en.xml
Global warming and changes in drought,https://www.nature.com/articles/nclimate2067
Why do we have global warming?,https://www.sciencedirect.com/science/article/pii/B9780128141045000016
[BOOK] Economic theory and global warming,https://books.google.com/books?hl=en&lr=&id=cny2x2OMRqQC&oi=fnd&pg=PR7&dq=global+warming&ots=nIr4m0cvvz&sig=cr9277oN4JRUvrr4L54JFRSmyCk
Global warming trends,https://www.jstor.org/stable/24996902
Local warming: Daily temperature change influences belief in global warming,https://journals.sagepub.com/doi/abs/10.1177/0956797611400913
Global warming: are we entering the greenhouse century,https://www.osti.gov/etdeweb/biblio/6800180
How much more rain will global warming bring?,https://www.science.org/doi/abs/10.1126/science.1140746
Overestimated global warming over the past 20 years,https://www.nature.com/articles/nclimate1972
[BOOK] Global warming and agriculture: End-of-century estimates by country,https://books.google.com/books?hl=en&lr=&id=CwIQ-9YdjzQC&oi=fnd&pg=PR7&dq=global+warming&ots=toITG8BNko&sig=7zH9TsuJhnt34uVg6lZCDictlEk
Politics and global warming: november 2019,https://psyarxiv.com/k63gs/
FVS and global warming: A prospectus for future development,https://www.fs.usda.gov/treesearch/pubs/30963
Relative contributions of greenhouse gas emissions to global warming,https://www.nature.com/articles/344529a0
The global warming debate: A review of the state of science,https://link.springer.com/article/10.1007/s00024-005-2683-x
"Global warming—facts, assessment, countermeasures",https://www.sciencedirect.com/science/article/pii/S0920410500000309
Global warming in an unequal world: A case of environmental colonialism,https://www.osti.gov/etdeweb/biblio/6842576
Global warming,https://journals.sagepub.com/doi/abs/10.1177/030913339301700107
[HTML] Global warming has increased global economic inequality,https://www.pnas.org/content/116/20/9808?utm_source=newsletter&utm_medium=email&utm_content=2020-02-26&utm_campaign=greenbuzz
Global warming and sociology,https://journals.sagepub.com/doi/abs/10.1177/0011392107088238
Population growth and global warming,https://www.jstor.org/stable/1973681
National contributions to observed global warming,https://iopscience.iop.org/article/10.1088/1748-9326/9/1/014010/meta
Biological consequences of global warming: is the signal already apparent?,https://www.sciencedirect.com/science/article/pii/S0169534799017644
Keeping global warming within 1.5 C constrains emergence of aridification,https://www.nature.com/articles/s41558-017-0034-4
"Issue definition, information processing, and the politics of global warming",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-5907.2007.00267.x
A force to fight global warming,https://www.nature.com/articles/462278a
What is the value of scientific knowledge? An application to global warming using the PRICE model,https://www.iaee.org/energyjournal/article/1240
Global warming and winter weather,https://www.science.org/doi/full/10.1126/science.343.6172.729
Can we bury global warming?,https://www.jstor.org/stable/26061071
Is global warming harmful to health?,https://www.jstor.org/stable/26058826
Examining the tropical Pacific's response to global warming,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2008EO090002
Attention to global warming,https://academic.oup.com/rfs/article-abstract/33/3/1112/5735304
"What Is The"" Damages Function"" For Global Warming—And What Difference Might It Make?",https://www.worldscientific.com/doi/abs/10.1142/S2010007810000042
Public policies against global warming: a supply side approach,https://link.springer.com/article/10.1007/s10797-008-9082-z
The European climate under a 2° C global warming,https://iopscience.iop.org/article/10.1088/1748-9326/9/3/034006/meta
Climatic change: are we on the brink of a pronounced global warming?,https://www.science.org/doi/abs/10.1126/science.189.4201.460
Global warming and the hydrologic cycle,https://www.sciencedirect.com/science/article/pii/002216949502753X
[BOOK] Global warming: a very short introduction,https://books.google.com/books?hl=en&lr=&id=7waExgo5OP8C&oi=fnd&pg=PT17&dq=global+warming&ots=rmifYe0m2O&sig=LGrBWf1Dq9l3SIoQ9eDTum0eh-8
"A climate for business: global warming, the state and capital",https://www.tandfonline.com/doi/abs/10.1080/096922998347426
Global warming and 21st century drying,https://link.springer.com/article/10.1007/s00382-014-2075-y
Impacts of 1.5 C global warming on natural and human systems,https://helda.helsinki.fi/handle/10138/311749
Global warming and carbon dioxide through sciences,https://www.sciencedirect.com/science/article/pii/S0160412008001232
"[HTML] Diet, energy, and global warming",https://journals.ametsoc.org/view/journals/eint/10/9/ei167.1.xml
"[PDF] Politics and global warming, April 2020",https://psyarxiv.com/d7vbq/download?format=pdf
Global warming benefits the small in aquatic ecosystems,https://www.pnas.org/content/106/31/12788.short
[BOOK] An inconvenient truth: The planetary emergency of global warming and what we can do about it,https://books.google.com/books?hl=en&lr=&id=93M6C24ac9MC&oi=fnd&pg=PA37&dq=global+warming&ots=-yXe10c3_y&sig=pZTjSD4aEQYtZo_SucgNukY_I2A
After Kyoto: alternative mechanisms to control global warming,https://pubs.aeaweb.org/doi/abs/10.1257/000282806777211964
[BOOK] Global warming: understanding the forecast,https://www.academia.edu/download/34797027/warmingbook92revkin.pdf
Balance as bias: Global warming and the US prestige press,https://www.sciencedirect.com/science/article/pii/S0959378003000669
Global warming and coastal erosion,https://link.springer.com/article/10.1023/B:CLIM.0000024690.32682.48
Global warming and sexual plant reproduction,https://www.sciencedirect.com/science/article/pii/S1360138508002884
Global warming continues,https://www.science.org/doi/full/10.1126/science.295.5553.275c
[BOOK] Democracy and global warming,https://books.google.com/books?hl=en&lr=&id=1GiVxFAaATMC&oi=fnd&pg=PA1&dq=global+warming&ots=i3MQQIglfc&sig=1v9ZZqau2Eiq3fD_vNvIVqQha9M
[BOOK] Encyclopedia of global warming and climate change: AE,https://books.google.com/books?hl=en&lr=&id=mNoW858izZcC&oi=fnd&pg=PR1&dq=global+warming&ots=H8D399NGjv&sig=gnNcBWZDeIZhzAyp9e4zq-sRiBY
The contribution of Paris to limit global warming to 2 C,https://iopscience.iop.org/article/10.1088/1748-9326/10/12/125002/meta
The science of global warming,https://www.tandfonline.com/doi/abs/10.1179/isr.2001.26.4.247
"Global warming, irreversibility and learning",https://academic.oup.com/ej/article-abstract/107/442/636/5057713
Global warming policy: a public finance perspective,https://www.aeaweb.org/articles?id=10.1257/jep.7.4.47
[BOOK] Another look at population and global warming,https://books.google.com/books?hl=en&lr=&id=NuVYsr8O8lsC&oi=fnd&pg=PA1&dq=global+warming&ots=aUwbyF7A-3&sig=FFkNAErKJLkwdy5SwF45iP9DVyQ
"If we seek, do we learn? Predicting knowledge of global warming",https://journals.sagepub.com/doi/abs/10.1177/1075547008328798
Water vapor feedback and global warming,https://www.annualreviews.org/doi/abs/10.1146/annurev.energy.25.1.441
Global warming and climate change in Mexico,https://www.sciencedirect.com/science/article/pii/095937809190002B
Climate change in cities due to global warming and urban effects,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2010GL042845
Drought under global warming: a review,https://onlinelibrary.wiley.com/doi/pdf/10.1002/wcc.81
Large-scale dynamics and global warming,https://journals.ametsoc.org/view/journals/bams/74/2/1520-0477_1993_074_0228_lsdagw_2_0_co_2.xml
On the spatial economic impact of global warming,https://www.sciencedirect.com/science/article/pii/S0094119015000339
"Ethics, public policy, and global warming",https://books.google.com/books?hl=en&lr=&id=KY0XT0XG6qYC&oi=fnd&pg=PA77&dq=global+warming&ots=ZobAlL3_Wv&sig=WeAQLfabMt_Py5bx-gGHYy9unhc
Public perceptions of global warming: United States and international perspectives,https://www.int-res.com/abstracts/cr/v11/n1/p75-84/
[BOOK] Securitizing global warming: a climate of complexity,https://www.taylorfrancis.com/books/mono/10.4324/9781315677514/securitizing-global-warming-delf-rothe
Defusing the global warming time bomb,https://www.jstor.org/stable/26047640
How much more global warming and sea level rise?,https://www.science.org/doi/abs/10.1126/science.1106663
Tree and forest functioning in response to global warming,https://nph.onlinelibrary.wiley.com/doi/abs/10.1046/j.1469-8137.2001.00057.x
[BOOK] Behind the curve: science and the politics of global warming,https://books.google.com/books?hl=en&lr=&id=L2ziAgAAQBAJ&oi=fnd&pg=PR5&dq=global+warming&ots=eSTO2JjCfD&sig=7ZGJG0HQd39Ff9twVNx8ZN9WvCA
Testing public (un) certainty of science: Media representations of global warming,https://journals.sagepub.com/doi/abs/10.1177/1075547004270234
[BOOK] The challenge of global warming: economic models and environmental policy,https://grist.org/wp-content/uploads/2007/12/dice_mss_091107_public.pdf
Forecasting the effects of global warming on biodiversity,https://academic.oup.com/bioscience/article-abstract/57/3/227/268444
The relationship between personal experience and belief in the reality of global warming,https://www.nature.com/articles/nclimate1754
"[CITATION] Heaven and earth: Global warming, the missing science",https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/98GL02562
Precipitation sensitivity to global warming: Comparison of observations with HadCM2 simulations,https://www.jstor.org/stable/2118296
The impact of global warming on agriculture: Reply,https://www.sciencedirect.com/science/article/pii/S0024630106000446
Global warming: should companies adopt a proactive strategy?,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1539-6924.2008.01010.x
"Personal efficacy, the information environment, and attitudes toward global warming and climate change in the United States",https://journals.ametsoc.org/view/journals/clim/19/21/jcli3990.1.xml
[HTML] Robust responses of the hydrological cycle to global warming,https://books.google.com/books?hl=en&lr=&id=xlIvrDkOBtcC&oi=fnd&pg=PA27&dq=global+warming&ots=N6p4fC_bxi&sig=SFQ5d90Gk_zvDFhpOzg5h2z9zfs
[BOOK] Global warming: engineering solutions,https://ees3310.jgilligan.org/files/reading_handouts/Dyson-GlobalWarming-2008.pdf
[PDF] The question of global warming,https://link.springer.com/article/10.1007/s00199-010-0592-4
Global warming and economic externalities,https://www.sciencedirect.com/science/article/pii/S0959378012000908
"Do people “personally experience” global warming, and if so how, and does it matter?",https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/ep.13041
Global warming: review on driving forces and mitigation,https://www.pnas.org/content/105/38/14239.short
"Global warming: Stop worrying, start panicking?",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.611.5841&rep=rep1&type=pdf
[PDF] How are insects responding to global warming?,https://books.google.com/books?hl=en&lr=&id=8GLTOBEvCAUC&oi=fnd&pg=PA1&dq=global+warming&ots=FNGlio6D1q&sig=eoYPg47Fj6f3Q_6uOcss3FY-Zkg
"[BOOK] A new climate for theology: God, the world, and global warming",https://www.sciencedirect.com/science/article/pii/B9780124202252000029
Global warming and its possible impact on agriculture in India,https://www.nature.com/articles/nclimate1633
Increasing drought under global warming in observations and models,https://academic.oup.com/poq/article-abstract/71/3/444/1858123
The polls—trends: Twenty years of public opinion about global warming,https://www.sciencedirect.com/science/article/pii/S0140988310001908
The status and prospects of renewable energy for combating global warming,https://books.google.com/books?hl=en&lr=&id=8ImiDwAAQBAJ&oi=fnd&pg=PA139&dq=global+warming&ots=Xm-TSxcFI6&sig=P5xryHe357_qJNed06kmLDv9ia4
Crop production and global warming,https://books.google.com/books?hl=en&lr=&id=p5RBDwAAQBAJ&oi=fnd&pg=PR9&dq=global+warming&ots=yZtE79xuM0&sig=mfbZdTyv4-2R4PUxVsAmvNqrbQY
[BOOK] Cool it: The skeptical environmentalist's guide to global warming,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/1540-9295(2003)001[0130:ATIOGW]2.0.CO;2
[CITATION] Causes and effects of global warming,https://journals.ametsoc.org/view/journals/clim/20/17/jcli4258.1.xml
Assessing the impacts of global warming on forest pest dynamics,https://ieeexplore.ieee.org/abstract/document/5439042/
[HTML] Global warming and the weakening of the tropical circulation,https://philpapers.org/rec/BROCTC-12
"Global warming: Energy, environmental pollution, and the impact of power electronics",https://www.sciencedirect.com/science/article/pii/0378112790902295
Counting the cost of global warming: A report to the Economic and Social Research Council on research by John Broome and David Ulph,https://academic.oup.com/poq/article-abstract/75/1/115/1846776
Effects of global warming on forests,https://books.google.com/books?hl=en&lr=&id=dRTFfTalHB8C&oi=fnd&pg=PP1&dq=global+warming&ots=KRuOrscreS&sig=oD-FJi8TPVus4SqCoUoxBJ_QO84
“Global warming” or “climate change”? Whether the planet is warming depends on question wording,http://www.ecasd.us/ECASD/media/South-Middle-School/Environment-Book-List.pdf
[BOOK] Global warming and the world trading system,https://www.nature.com/articles/s41558-021-01127-1
[BOOK] An inconvenient truth: The crisis of global warming,https://iopscience.iop.org/article/10.1088/0963-6625/9/3/302/meta
[HTML] Extreme sea levels at different global warming levels,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2001JD001195
Mass communication and public understanding of environmental problems: the case of global warming,https://www.science.org/doi/abs/10.1126/science.1063656
Simulation of hydrologic changes associated with global warming,https://eric.ed.gov/?id=EJ894851
Constraint to adaptive evolution in response to global warming,https://www.jstor.org/stable/2233865
Turkish Students' Ideas about Global Warming.,https://www.nature.com/articles/nature01333
The role of carbon taxes in adjusting to global warming,https://eric.ed.gov/?id=EJ720385
